Neighbourhood,Population,Participation_Rate,Employment_Rate,Unemployment_Rate,Core_Housing_Need,Unaffordable_Housing,Low_Income_AfterTax_Pct,Bachelors_Degree_Pct,No_Diploma_Pct,Immigrant_Population_Pct,Visible_Minority_Pct,Renters_Pct,Lone_Parent_Families_Pct
Roncesvalles,14974,71.7,66.9,6.7,1580,37.8,19.9,22.939762254574596,18.198210231067183,29.35087484973955,25.34392947776145,25.944971283558164,4.073727794844397
Rosedale-Moore Park,20923,63.9,60.1,6.0,1010,30.4,10.2,28.724370310184966,13.716962194713952,26.262964202074272,17.875065717153372,21.435740572575636,2.843760455001673
Rouge,46496,64.7,59.4,8.2,1870,29.3,9.5,14.549638678596008,25.249483826565726,55.004731589814185,80.2542154163799,4.742343427391604,5.312284927735719
Runnymede-Bloor West Village,10070,72.6,69.0,5.1,350,21.1,6.9,24.37934458788481,13.753723932472692,23.187686196623638,15.888778550148958,8.093346573982126,3.922542204568024
Rustic,9941,52.4,47.8,9.1,1285,33.3,31.7,5.884719847097878,24.343627401669853,51.352982597324214,58.444824464339604,22.784428125943066,11.618549441706067
Scarborough Village,16724,57.7,50.2,13.0,2275,41.4,32.4,10.822769672327194,22.63214541975604,53.66539105477158,72.14183209758431,19.343458502750536,7.862951447022243
South Parkdale,21849,70.7,64.7,8.6,4085,49.1,30.5,19.268616412650463,20.687445649686484,40.82566707858483,45.402535585152634,45.15080781729141,5.217630097487299
South Riverdale,27876,71.4,66.8,6.5,2000,31.0,18.7,22.6180226718324,17.290859520734685,29.45185822930119,40.26761371789353,17.36260582579997,4.932558473238628
St.Andrew-Windfields,17812,61.5,56.3,8.3,870,33.9,15.9,23.579609252189535,17.60049404895576,49.601392319784416,50.19088255108915,12.014372333258477,4.884347630810689
Steeles,24623,52.2,47.3,9.5,1970,37.4,21.0,17.544572147991715,25.32185355155749,70.828087560411,89.65195142752711,5.117166876497584,5.4623725784835315
Stonegate-Queensway,25051,67.5,63.0,6.7,1715,27.4,11.6,21.296555027743402,18.222825436110334,34.469681849027985,18.34258113448565,14.630154484850905,4.690431519699812
Tam O'Shanter-Sullivan,27446,55.8,50.7,9.1,2895,38.0,23.8,17.59819281498215,23.136340450338846,60.93784157982949,74.05450703199008,15.99504481527363,5.957152226189609
Taylor-Massey,15683,63.3,56.1,11.5,2460,44.2,32.9,15.526366128929414,19.543454696167824,55.505961869540265,66.02690811706944,26.876235414142702,5.706816297902187
The Beaches,21567,72.2,68.0,5.7,1255,28.5,9.4,26.452450503083412,15.857560161357629,19.59011452682339,13.817406222469513,16.413965781054387,4.173042147725692
Thistletown-Beaumond Heights,10360,60.3,54.1,10.4,800,32.4,17.8,11.341698841698841,22.586872586872587,52.75096525096525,62.83783783783784,12.017374517374517,6.7084942084942085
Thorncliffe Park,21108,55.7,48.6,12.6,3090,50.0,45.5,14.804813340913398,19.021224180405532,62.86715937085465,78.14572673867728,30.01231760469964,4.12166003411029
Trinity-Bellwoods,16556,69.4,65.1,6.1,1200,36.0,14.7,21.230973665136506,19.78134815172747,35.093017637110414,29.11331239429814,19.9625513409036,4.228074414109688
University,7607,71.5,65.5,8.3,580,46.5,22.4,25.83147101354016,15.64348626265282,26.488760352307082,28.986459839621403,27.93479689759432,2.892073090574471
Victoria Village,17510,59.2,53.2,10.1,2230,38.1,25.9,15.019988577955454,21.587664191890347,52.45573957738435,57.99543118218161,24.84294688749286,7.367218732153055
Waterfront Communities-The Island,65913,82.4,78.2,5.2,4400,40.5,16.5,41.38789009755284,12.653042647125757,36.13854626553184,43.838089602961475,36.305432919151,2.556400103166295
West Hill,27392,58.5,51.7,11.6,2830,32.4,25.2,11.00686331775701,23.455753504672895,48.718603971962615,62.335718457943926,14.803592289719624,8.579147196261683
West Humber-Clairville,33312,64.1,58.0,9.6,1985,31.7,15.8,12.743155619596541,25.546349663784824,57.726945244956774,80.88676753121999,9.831292026897215,5.8837656099903946
Westminster-Branson,26274,61.8,56.2,9.2,3465,46.0,24.4,19.772398568927457,21.08548374819213,69.09872878130471,44.58780543503083,23.464261246860012,6.603486336302048
Weston,17992,62.1,55.5,10.6,2730,42.6,29.6,9.476433970653623,23.232547799021788,48.29924410849266,59.77656736327257,26.65073365940418,9.059582036460649
Weston-Pelham Park,11098,63.3,58.0,8.5,1000,30.8,20.4,10.182014777437375,23.337538295188324,48.38709677419355,37.93476302036403,15.768606956208325,6.89313389799964
Wexford/Maryvale,27917,61.5,55.9,9.0,2435,32.7,19.2,13.504316366371743,25.9340186982842,49.80836049718809,54.75158505570082,14.381917827846832,6.358133037217466
Willowdale East,50434,61.1,55.9,8.5,3525,49.9,30.3,30.604354205496293,17.012332949994054,61.545782606971486,74.78090177261372,16.86362374588571,4.649641115120752
Willowdale West,16936,57.9,52.2,9.8,1380,45.8,27.1,27.751535191308456,18.540387340576288,55.444024563060935,56.86112423240435,16.267123287671232,3.7789324515824276
Willowridge-Martingrove-Richview,22156,58.5,53.5,8.5,1780,31.2,15.0,16.49666004693988,23.492507672865138,45.26990431485828,40.03430222061744,17.715291568875248,6.1608593608954685
Woburn,53485,58.0,51.9,10.6,5335,35.9,27.2,14.162849397027205,24.623726278395814,56.43638403290642,75.7408619239039,16.21015237917173,6.469103486958961
Woodbine Corridor,12541,71.9,66.4,7.7,995,28.7,15.8,22.286898971373894,16.465991547723466,23.403237381389044,26.95159875608006,18.140499162746192,5.462084363288414
Woodbine-Lumsden,7865,70.2,65.5,6.6,695,32.0,15.2,18.2453909726637,22.377622377622377,27.844882390336934,30.959949141767325,13.922441195168467,5.467260012714558
Wychwood,14349,69.2,65.6,5.2,1280,35.4,16.7,19.304481148512092,15.924454665830371,30.28085580876716,25.332775803191858,21.18614537598439,5.191999442469859
Yonge-Eglinton,11817,73.2,68.2,6.9,825,34.1,12.0,30.676144537530675,12.101210121012102,26.91038334602691,26.698823728526698,29.44909875602945,3.5965134975035964
Yonge-St.Clair,12528,69.4,65.2,5.9,1045,36.1,12.9,29.693486590038315,14.527458492975734,28.575989782886335,20.394316730523627,34.442848020434226,3.1529374201787994
York University Heights,27593,63.0,56.3,10.7,2895,40.1,24.4,14.170260573333818,25.296270793317145,56.51795745297721,69.34729822781141,20.16815859094698,7.5381437321059686
Yorkdale-Glen Park,14804,60.1,55.3,8.0,1050,30.9,16.8,10.774115104025938,22.865441772493924,49.074574439340715,42.826263172115645,13.813834098892192,6.754931099702784
